ext_invoice_key,ext_customer_key,invoice_date,amount,currency,status,source_system,inserted_at
INV0001,CUST039,2024-05-17,4720.26,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0002,CUST029,2024-02-01,1683.69,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0003,CUST015,2024-08-24,2642.07,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0004,CUST043,2024-04-06,3544.79,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0005,CUST008,2024-01-21,1881.79,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0006,CUST021,2024-05-21,4861.73,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0007,CUST039,2024-03-16,4815.99,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0008,CUST019,2024-07-31,1333.73,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0009,CUST023,2024-06-09,2536.52,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0010,CUST011,2024-06-07,1574.3,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0011,CUST011,2024-08-14,1495.72,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0012,CUST024,2024-08-08,280.75,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0013,CUST036,2024-04-02,3086.87,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0014,CUST040,2024-05-27,2563.13,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0015,CUST024,2024-02-19,352.25,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0016,CUST003,2024-06-29,1465.37,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0017,CUST022,2024-01-18,4550.5,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0018,CUST002,2024-01-12,1273.85,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0019,CUST024,2024-06-18,809.98,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0020,CUST044,2024-02-28,2498.32,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0021,CUST030,2024-07-16,4929.69,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0022,CUST038,2024-03-15,1286.07,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0023,CUST002,2024-01-21,3393.46,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0024,CUST021,2024-08-06,3831.94,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0025,CUST033,2024-02-29,1264.42,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0026,CUST012,2024-08-09,3668.26,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0027,CUST022,2024-01-26,1902.14,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0028,CUST044,2024-04-07,3198.3,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0029,CUST025,2024-03-12,3204.3,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0030,CUST049,2024-04-26,2725.3,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0031,CUST027,2024-06-11,542.42,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0032,CUST042,2024-08-01,4192.98,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0033,CUST028,2024-04-03,1671.82,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0034,CUST016,2024-02-11,1013.94,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0035,CUST015,2024-04-04,299.8,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0036,CUST047,2024-03-31,2995.38,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0037,CUST044,2024-02-23,3420.07,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0038,CUST003,2024-06-20,181.28,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0039,CUST037,2024-03-09,2609.26,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0040,CUST007,2024-06-28,1209.83,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0041,CUST021,2024-08-27,3261.35,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0042,CUST009,2024-06-23,954.4,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0043,CUST039,2024-06-14,3485.59,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0044,CUST018,2024-01-19,1995.0,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0045,CUST004,2024-06-04,4689.98,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0046,CUST025,2024-06-11,773.85,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0047,CUST014,2024-02-13,1771.23,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0048,CUST050,2024-05-16,656.02,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0049,CUST009,2024-07-05,4631.0,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0050,CUST026,2024-03-03,4398.96,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0051,CUST002,2024-02-11,1363.91,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0052,CUST020,2024-04-28,3333.92,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0053,CUST028,2024-04-07,4104.39,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0054,CUST047,2024-03-10,2820.48,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0055,CUST007,2024-08-24,2695.29,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0056,CUST044,2024-06-12,1285.08,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0057,CUST008,2024-06-25,556.2,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0058,CUST047,2024-05-22,4496.36,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0059,CUST035,2024-02-26,4512.05,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0060,CUST014,2024-06-24,3202.2,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0061,CUST017,2024-03-24,1761.25,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0062,CUST036,2024-08-03,1811.13,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0063,CUST050,2024-07-15,3657.18,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0064,CUST040,2024-07-17,4495.84,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0065,CUST004,2024-01-15,4446.72,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0066,CUST002,2024-02-28,3921.39,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0067,CUST006,2024-07-29,3245.96,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0068,CUST042,2024-01-09,512.29,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0069,CUST004,2024-07-25,891.98,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0070,CUST029,2024-03-21,4502.92,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0071,CUST018,2024-04-12,3071.5,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0072,CUST026,2024-03-09,145.07,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0073,CUST044,2024-01-17,597.21,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0074,CUST034,2024-02-24,3351.16,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0075,CUST010,2024-08-21,124.8,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0076,CUST036,2024-05-25,887.96,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0077,CUST014,2024-08-12,2788.8,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0078,CUST031,2024-07-02,3490.29,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0079,CUST048,2024-03-21,3294.61,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0080,CUST015,2024-02-24,1198.92,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0081,CUST008,2024-06-16,3589.68,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0082,CUST014,2024-05-07,1262.52,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0083,CUST023,2024-04-11,1694.46,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0084,CUST040,2024-08-14,3757.81,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0085,CUST021,2024-08-22,3283.2,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0086,CUST016,2024-06-13,4261.19,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0087,CUST045,2024-04-27,3322.3,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0088,CUST018,2024-02-06,2884.71,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0089,CUST047,2024-03-08,559.01,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0090,CUST024,2024-02-05,1901.81,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0091,CUST026,2024-03-04,1399.49,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0092,CUST025,2024-07-09,1295.55,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0093,CUST045,2024-05-23,4867.75,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0094,CUST041,2024-05-17,2026.18,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0095,CUST029,2024-03-08,4471.03,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0096,CUST015,2024-07-10,3192.58,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0097,CUST045,2024-05-29,3994.58,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0098,CUST001,2024-04-19,2562.92,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0099,CUST025,2024-08-17,2926.83,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0100,CUST007,2024-05-29,2513.34,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0101,CUST009,2024-04-12,1056.69,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0102,CUST024,2024-04-02,3640.02,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0103,CUST001,2024-02-26,1475.78,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0104,CUST044,2024-02-05,219.15,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0105,CUST008,2024-05-10,3262.81,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0106,CUST024,2024-05-06,967.84,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0107,CUST011,2024-01-24,4708.25,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0108,CUST017,2024-07-12,4774.25,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0109,CUST008,2024-01-13,4582.84,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0110,CUST035,2024-08-08,1913.78,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0111,CUST035,2024-01-29,175.74,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0112,CUST033,2024-02-09,4648.76,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0113,CUST005,2024-06-09,2198.1,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0114,CUST042,2024-02-10,4836.61,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0115,CUST039,2024-07-21,4821.74,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0116,CUST041,2024-06-23,4279.75,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0117,CUST028,2024-04-18,1542.8,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0118,CUST007,2024-06-01,1986.98,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0119,CUST009,2024-01-17,4270.57,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0120,CUST008,2024-04-08,1652.92,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0121,CUST012,2024-04-07,930.51,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0122,CUST034,2024-06-01,2828.33,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0123,CUST033,2024-04-29,4687.16,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0124,CUST048,2024-05-15,3510.55,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0125,CUST023,2024-03-05,2893.3,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0126,CUST024,2024-05-21,576.16,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0127,CUST037,2024-08-08,3113.54,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0128,CUST035,2024-01-03,4951.26,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0129,CUST044,2024-06-23,786.41,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0130,CUST040,2024-07-03,2639.82,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0131,CUST022,2024-01-30,4399.13,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0132,CUST027,2024-06-23,3729.77,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0133,CUST035,2024-08-14,3515.38,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0134,CUST001,2024-05-17,3542.17,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0135,CUST035,2024-07-11,1861.51,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0136,CUST037,2024-03-09,1538.6,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0137,CUST047,2024-07-15,4065.87,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0138,CUST014,2024-06-13,4069.56,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0139,CUST003,2024-03-28,4348.65,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0140,CUST001,2024-01-29,4574.88,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0141,CUST005,2024-03-16,2605.58,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0142,CUST026,2024-04-21,2557.43,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0143,CUST014,2024-02-10,4011.65,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0144,CUST039,2024-04-26,3284.82,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0145,CUST027,2024-01-01,3539.64,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0146,CUST009,2024-07-03,3999.38,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0147,CUST015,2024-08-12,4461.03,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0148,CUST015,2024-07-03,1756.18,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0149,CUST026,2024-03-08,1940.36,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0150,CUST042,2024-05-08,560.51,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0151,CUST013,2024-07-14,2933.57,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0152,CUST032,2024-02-15,276.12,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0153,CUST039,2024-05-09,2381.43,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0154,CUST049,2024-08-21,2758.96,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0155,CUST032,2024-01-28,1504.05,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0156,CUST004,2024-08-10,2995.08,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0157,CUST030,2024-06-09,249.45,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0158,CUST037,2024-03-17,283.01,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0159,CUST023,2024-08-03,4130.74,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0160,CUST039,2024-06-12,1864.93,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0161,CUST045,2024-05-09,722.6,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0162,CUST015,2024-06-04,2658.99,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0163,CUST043,2024-02-20,3872.97,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0164,CUST029,2024-02-09,1157.52,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0165,CUST036,2024-04-05,3152.16,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0166,CUST013,2024-07-14,518.2,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0167,CUST032,2024-02-11,353.24,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0168,CUST007,2024-05-18,2703.64,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0169,CUST022,2024-07-18,2749.11,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0170,CUST028,2024-08-24,3223.41,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0171,CUST002,2024-05-15,3657.85,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0172,CUST042,2024-08-23,4881.68,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0173,CUST045,2024-01-01,2629.87,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0174,CUST006,2024-06-02,1682.49,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0175,CUST028,2024-03-23,3996.41,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0176,CUST028,2024-05-05,1427.08,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0177,CUST044,2024-01-05,2250.96,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0178,CUST044,2024-01-29,484.44,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0179,CUST020,2024-08-25,224.22,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0180,CUST030,2024-04-02,4816.98,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0181,CUST011,2024-08-12,4196.3,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0182,CUST028,2024-07-31,3510.27,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0183,CUST025,2024-07-25,2103.87,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0184,CUST039,2024-03-19,949.14,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0185,CUST033,2024-03-02,866.54,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0186,CUST001,2024-01-15,1326.19,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0187,CUST027,2024-03-02,2791.21,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0188,CUST013,2024-08-12,3601.52,USD,Open,ERP,2025-09-16 07:52:36.474613
INV0189,CUST041,2024-05-25,3334.97,USD,Cancelled,ERP,2025-09-16 07:52:36.474613
INV0190,CUST003,2024-01-21,1471.68,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0191,CUST039,2024-01-22,4778.84,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0192,CUST006,2024-07-06,3715.69,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0193,CUST008,2024-05-04,2816.33,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0194,CUST027,2024-07-27,3097.43,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0195,CUST009,2024-01-18,2156.04,USD,Open,BillingSys,2025-09-16 07:52:36.474613
INV0196,CUST037,2024-07-13,1313.88,USD,Paid,BillingSys,2025-09-16 07:52:36.474613
INV0197,CUST033,2024-05-16,1844.27,USD,Paid,ERP,2025-09-16 07:52:36.474613
INV0198,CUST042,2024-07-15,3813.45,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0199,CUST044,2024-02-02,170.53,USD,Cancelled,BillingSys,2025-09-16 07:52:36.474613
INV0200,CUST024,2024-02-02,668.76,USD,Paid,ERP,2025-09-16 07:52:36.474613
